CladeA,CladeB,CladeC,CladeD,CladeE,CladeF,CladeG,CladeH,CladeI,,,,,,,,,,,,,,value,group
0.01817526,0.00988681,0.01039706,0.01554551,,0.03144837,,,,,,,,,,,,,,,,,0.01817526,A
0.00596353,0.00997052,0.01039352,0.0155465,,0.03705336,,,,,,,,,,,,,,,,,0.00596353,A
0.0120931,0.00988602,0.01019111,0.0155465,,0.04240648,,,,,,,,,,,,,,,,,0.0120931,A
0.01195516,0.00493087,0.01022743,0.00513432,,0.09285996,,,,,,,,,,,,,,,,,0.01195516,A
0.01808473,0.00996984,0.01539033,0.01038778,,0.08183514,,,,,,,,,,,,,,,,,0.01808473,A
0.01808473,0.00988681,0.02073096,0.0102914,,0.07598459,,,,,,,,,,,,,,,,,0.01808473,A
0.01808473,0.00988681,0.00508188,0.01029205,,0.09403316,,,,,,,,,,,,,,,,,0.01808473,A
0.0181756,0.00988681,0.01027956,0.01038877,,0.08785165,,,,,,,,,,,,,,,,,0.0181756,A
0.01808843,0.00996984,0.01019242,0.01038778,,0.08786458,,,,,,,,,,,,,,,,,0.01808843,A
0.0181756,0.00997052,0.01028125,0.01038778,,0.10040072,,,,,,,,,,,,,,,,,0.0181756,A
0.0181756,0.00988602,0.01027956,0.01029205,,0.10662479,,,,,,,,,,,,,,,,,0.0181756,A
0.01817526,0.00996984,0.01028125,0.0102914,,0.09994704,,,,,,,,,,,,,,,,,0.01817526,A
0.01817526,0.00988681,0.01019242,0.01038778,,0.02059477,,,,,,,,,,,,,,,,,0.01817526,A
0.00596353,0.00997052,0.0101915,0.01038877,,0.0259772,,,,,,,,,,,,,,,,,0.00596353,A
0.0120931,0.00988602,0.01027956,0.01038877,,0.03120609,,,,,,,,,,,,,,,,,0.0120931,A
0.0120931,0.00996984,0.0101915,0.00515773,,0.05347977,,,,,,,,,,,,,,,,,0.0120931,A
0.01801018,0.00988602,0.01027793,0.01038778,,0.47517754,,,,,,,,,,,,,,,,,0.01801018,A
0.02417441,0.014925,0.01562317,0.01576479,,0.4751457,,,,,,,,,,,,,,,,,0.02417441,A
0.02417441,0.01500294,0.02115665,0.01554486,,0.46282301,,,,,,,,,,,,,,,,,0.02417441,A
0.02417441,0.01500294,0.00511054,0.01554551,,0.50355097,,,,,,,,,,,,,,,,,0.02417441,A
0.02429117,0.01500294,0.01019203,0.01576689,,0.5200244,,,,,,,,,,,,,,,,,0.02429117,A
0.02417651,0.014925,0.01040116,0.01576479,,0.48913632,,,,,,,,,,,,,,,,,0.02417651,A
0.02429117,0.01492567,0.01019242,0.01576479,,0.48856251,,,,,,,,,,,,,,,,,0.02429117,A
0.02429117,0.0149999,0.01019203,0.01554551,,0.47405455,,,,,,,,,,,,,,,,,0.02429117,A
0.02428589,0.014925,0.01019242,0.01554486,,0.46401003,,,,,,,,,,,,,,,,,0.02428589,A
0.02428589,0.01500294,0.01040116,0.01576479,,0.46257022,,,,,,,,,,,,,,,,,0.02428589,A
0.01196346,0.01492567,0.01039706,0.01576689,,0.45978397,,,,,,,,,,,,,,,,,0.01196346,A
0.01812769,0.0149999,0.01019203,0.01576689,,0.46972531,,,,,,,,,,,,,,,,,0.01812769,A
0.01812769,0.014925,0.01039706,0.01029183,,0.43266011,,,,,,,,,,,,,,,,,0.01812769,A
0.00596836,0.00495515,0.01019242,0.0051341,,0.48289659,,,,,,,,,,,,,,,,,0.00596836,A
0.01801372,0.0049479,0.01027344,0.01029205,,0.46899034,,,,,,,,,,,,,,,,,0.01801372,A
